username,day_of_use
user_001,2024-11-08
user_001,2024-11-16
user_002,2023-01-29
user_002,2024-11-18
user_002,2024-08-20
user_002,2024-09-25
user_002,2024-06-07
user_003,2023-08-14
user_003,2024-09-23
user_003,2024-06-09
user_003,2024-10-25
user_003,2024-05-26
user_003,2024-05-16
user_003,2023-04-29
user_004,2024-05-05
user_004,2024-02-22
user_004,2024-07-10
user_005,2023-08-26
user_005,2023-10-06
user_005,2023-08-19
user_005,2023-07-01
user_005,2023-11-10
user_005,2024-04-22
user_005,2023-12-27
user_005,2024-04-05
user_005,2023-07-16
user_005,2024-07-23
user_005,2024-03-19
user_005,2023-11-20
user_005,2023-08-24
user_005,2023-10-01
user_006,2023-09-18
user_006,2023-11-01
user_006,2024-04-08
user_006,2023-01-01
user_006,2024-09-28
user_006,2024-07-30
user_007,2024-07-07
user_007,2023-02-12
user_007,2023-10-31
user_007,2024-08-02
user_007,2023-11-28
user_007,2024-11-07
user_007,2024-03-29
user_007,2023-04-19
user_008,2024-09-29
user_008,2023-01-05
user_008,2023-12-25
user_008,2024-05-16
user_008,2023-04-26
user_008,2024-06-07
user_008,2024-03-21
user_008,2023-04-30
user_008,2023-08-05
user_008,2023-10-06
user_008,2024-02-24
user_008,2024-11-09
user_008,2024-04-19
user_008,2023-04-29
user_009,2024-02-23
user_009,2024-10-23
user_009,2023-08-27
user_009,2024-10-01
user_009,2023-02-04
user_009,2023-12-04
user_009,2023-10-18
user_009,2023-08-28
user_010,2024-04-06
user_010,2024-10-09
user_010,2023-03-17
user_010,2023-10-28
user_010,2024-03-18
user_010,2023-06-01
user_010,2023-12-04
user_010,2024-08-20
user_010,2023-12-07
user_010,2023-04-09
user_010,2023-07-07
user_010,2024-03-20
user_010,2023-08-03
user_010,2024-02-09
user_010,2024-08-13
user_010,2024-07-04
user_010,2024-09-03
user_010,2023-06-11
user_010,2024-01-19
user_010,2023-01-05
user_010,2024-08-04
user_011,2023-06-28
user_011,2023-07-29
user_011,2024-01-19
user_011,2023-10-02
user_011,2024-09-17
user_011,2024-06-13
user_011,2023-07-16
user_011,2024-09-12
user_011,2023-12-03
user_012,2024-03-06
user_012,2023-12-21
user_012,2024-05-14
user_012,2024-08-07
user_012,2023-10-21
user_012,2023-08-08
user_012,2024-11-19
user_012,2023-01-21
user_012,2023-01-28
user_012,2024-08-12
user_012,2024-02-28
user_012,2023-07-21
user_012,2023-06-17
user_012,2023-02-05
user_012,2024-06-10
user_012,2023-07-17
user_012,2023-09-16
user_012,2024-06-18
user_012,2024-06-17
user_013,2024-09-30
user_013,2024-09-23
user_013,2024-06-28
user_013,2023-10-22
user_013,2024-11-25
user_013,2023-11-08
user_013,2023-01-04
user_013,2023-06-26
user_013,2023-11-30
user_013,2024-01-18
user_013,2024-09-03
user_013,2023-09-17
user_013,2024-02-09
user_013,2023-11-19
user_013,2023-10-15
user_014,2024-04-14
user_014,2023-12-24
user_014,2024-01-03
user_014,2024-01-02
user_014,2024-05-03
user_014,2024-06-30
user_014,2023-01-22
user_014,2024-07-25
user_014,2023-01-31
user_014,2024-10-17
user_014,2024-07-18
user_015,2024-01-21
user_015,2024-05-09
user_015,2024-05-03
user_015,2023-05-10
user_015,2024-07-05
user_015,2024-01-20
user_015,2024-05-14
user_015,2023-09-20
user_015,2024-03-30
user_015,2024-06-06
user_015,2023-09-11
user_015,2024-05-13
user_015,2023-12-09
user_015,2023-06-05
user_016,2024-07-11
user_016,2023-12-23
user_016,2024-06-23
user_016,2024-03-20
user_016,2023-02-25
user_016,2023-06-17
user_016,2023-11-09
user_016,2023-12-09
user_016,2024-08-16
