COHORT_WEEK,ACTION_WEEK,ACTION_WEEK
2021-01-11,2021-01-11,18667
2021-01-11,2021-01-18,6222
2021-01-11,2021-01-25,2074
2021-01-11,2021-02-01,691
2021-01-18,2021-01-18,11768
2021-01-18,2021-01-25,5884
2021-01-18,2021-02-01,1961
2021-01-18,2021-02-08,980
2021-01-25,2021-01-25,12444
2021-01-25,2021-02-01,4148
2021-01-25,2021-02-08,1382
2021-01-25,2021-02-15,691
2021-02-01,2021-02-01,19322
2021-02-01,2021-02-08,6440
2021-02-01,2021-02-15,2146
2021-02-01,2021-02-22,715
2021-02-08,2021-02-08,18310
2021-02-08,2021-02-15,6103
2021-02-08,2021-02-22,2034
2021-02-08,2021-03-01,1017
2021-02-15,2021-02-15,11981
2021-02-15,2021-02-22,3993
2021-02-15,2021-03-01,1331
2021-02-15,2021-03-08,443
2021-02-22,2021-02-22,19539
2021-02-22,2021-03-01,6513
2021-02-22,2021-03-08,3256
2021-02-22,2021-03-15,1628
2021-03-01,2021-03-01,18746
2021-03-01,2021-03-08,6248
2021-03-01,2021-03-15,3124
2021-03-01,2021-03-22,1562
2021-03-08,2021-03-08,11744
2021-03-08,2021-03-15,5872
2021-03-08,2021-03-22,1957
2021-03-08,2021-03-29,978
2021-03-15,2021-03-15,19299
2021-03-15,2021-03-22,6433
2021-03-15,2021-03-29,3216
2021-03-15,2021-04-05,1072
2021-03-22,2021-03-22,12455
2021-03-22,2021-03-29,6227
2021-03-22,2021-04-05,3113
2021-03-22,2021-04-12,1037
2021-03-29,2021-03-29,13195
2021-03-29,2021-04-05,6597
2021-03-29,2021-04-12,2199
2021-03-29,2021-04-19,1099
2021-04-05,2021-04-05,17694
2021-04-05,2021-04-12,5898
2021-04-05,2021-04-19,1966
2021-04-05,2021-04-26,655
2021-04-12,2021-04-12,12004
2021-04-12,2021-04-19,4001
2021-04-12,2021-04-26,1333
2021-04-12,2021-05-03,444
2021-04-19,2021-04-19,11939
2021-04-19,2021-04-26,3979
2021-04-19,2021-05-03,1326
2021-04-19,2021-05-10,663
